feature,importance
Events,0.4957310530662169
hour_cos,0.05557286903963506
lag_168h,0.04835375575376775
hour,0.03234484203381201
lag_1h,0.03147769702880764
lag_24h,0.030650814437402543
rolling_mean_3h,0.030081852785408317
traffic_trend,0.028607881862008355
rolling_mean_6h,0.02644537220373359
lag_2h,0.026311873316672233
rolling_std_3h,0.025179492063325162
rolling_mean_24h,0.024612211542294437
day_of_year,0.021232367739864696
hour_sin,0.018856251994738702
day_of_week,0.01816587955440385
dow_sin,0.01766463997261698
is_night,0.013639021256703038
is_weekend,0.011820628974139281
month,0.009322897494115343
month_cos,0.007778428347223494
month_sin,0.007456217743880408
dow_cos,0.006423523284914297
is_rush_hour,0.003653404916166901
weather_Clear,0.0034438567371276774
weather_Cloudy,0.003234393124765429
weather_Rain,0.0017695105981657066
weather_Snow,0.00016926312809019428
